80000 198,639 1.85e-5 28,96442
86000 186,946 6.96e-6 28,96442
92000 186,65 2.39e-06 28,96442
98000 192,912 8.00e-07 28,774
104000 203,618 2.76e-07 27,868
110000 255,487 9.34e-08 26,961
116000 304,207 3.96e-08 26,055
122000 356,94 2.01e-08 25,28
128000 424,49 1.16e-08 24,79
134000 492,05 6.86e-09 24,33
140000 559,6 4.25e-09 23,91
146000 600,4 2.70e-09 23,51
152000 641,2 1.80e-09 23,15
158000 682, 1.32e-09 22,81
164000 711,48 9.85e-10 22,5
170000 735,3 7.56e-10 22,21
176000 759,12 5.93e-10 21,93
182000 782,94 4.71e-10 21,68
188000 806,76 3.77e-10 21,43
194000 830,58 3.02e-10 21,2
200000 854,4 2.52e-10 20,98
206000 864,9 2.07e-10 20,76
212000 875,4 1.72e-10 20,55
218000 885,9 1.44e-10 20,34
224000 896,4 1.21e-10 20,13
230000 906,9 1.03e-10 19,92
236000 917,4 8.74e-11 19,7
242000 927,9 7.46e-11 19,48
248000 938,4 6.38e-11 19,24
254000 944,18 5.49e-11 19,02
260000 947,6 4.74e-11 18,83
266000 951,02 4.10e-11 18,64
272000 954,44 3.56e-11 18,47
278000 957,86 3.11e-11 18,3
284000 961,28 2.72e-11 18,14
290000 964,7 2.38e-11 17,98
296000 968,12 2.09e-11 17,83
302000 971,54 1.83e-11 17,69
308000 974,96 1.61e-11 17,56
314000 978,38 1.41e-11 17,43
320000 981,8 1.23e-11 17,3
326000 984,8 1.08e-11 17,18
332000 985,7 9.44e-12 17,06
338000 986,6 8.34e-12 16,95
344000 986,9 8.04e-12 16,91
350000 988,4 7.01e-12 16,74
356000 989,3 6.26e-12 16,63
362000 990,2 5.59e-12 16,53
368000 991,1 5.00e-12 16,43
374000 992 4.47e-12 16,34
380000 992,9 4.00e-12 16,24
386000 993,8 3.59e-12 16,15
392000 994,7 3.22e-12 16,05
398000 995,6 2.90e-12 15,96
404000 995,98 2.61e-12 15,89
410000 996,1 2.35e-12 15,83
416000 996,22 2.12e-12 15,76
422000 996,34 1.91e-12 15,69
428000 996,46 1.72e-12 15,61
434000 996,58 1.55e-12 15,53
440000 996,7 1.40e-12 15,44
446000 996,82 1.27e-12 15,35
452000 996,94 1.15e-12 15,26
458000 997,06 1.04e-12 15,16
464000 997,18 9.41e-13 15,05
470000 997,3 8.52e-13 14,94
476000 997,42 7.71e-13 14,83
482000 997,54 6.99e-13 14,71
488000 997,66 6.33e-13 14,59
494000 997,78 5.74e-13 14,46
500000 997,9 5.21e-13 14,33
505000 998 4.80e-13 14,21
510000 998,1 4.44e-13 14,1
515000 998,2 4.10e-13 13,98
520000 998,3 3.79e-13 13,86
525000 998,4 3.50e-13 13,73
530000 998,5 3.24e-13 13,6
535000 998,6 3.00e-13 13,47
540000 998,7 2.78e-13 13,34
545000 998,8 2.57e-13 13,2
550000 998,9 2.38e-13 13,07
555000 999 2.21e-13 12,92
560000 999,1 2.05e-13 12,78
565000 999,2 1.90e-13 12,63
570000 999,3 1.76e-13 12,48
575000 999,4 1.63e-13 12,33
580000 999,5 1.52e-13 12,18
585000 999,6 1.41e-13 12,02
590000 999,7 1.31e-13 11,86
595000 999,8 1.22e-13 11,7
600000 999,9 1.14e-13 11,53
605000 999,9 1.06e-13 11,36
610000 999,91 9.91e-14 11,19
615000 999,91 9.24e-14 11,02
620000 999,91 8.62e-14 10,85
625000 999,91 8.05e-14 10,67
630000 999,92 7.51e-14 10,49
635000 999,92 7.01e-14 10,31
640000 999,92 6.55e-14 10,13
645000 999,92 6.13e-14 9,94
650000 999,93 5.73e-14 9,75
655000 999,93 5.35e-14 9,56
660000 999,93 5.01e-14 9,37
665000 999,93 4.70e-14 9,18
670000 999,94 4.41e-14 9
675000 999,94 4.14e-14 8,82
680000 999,94 3.89e-14 8,65
685000 999,94 3.66e-14 8,48
690000 999,95 3.45e-14 8,31
695000 999,95 3.25e-14 8,15
700000 999,95 3.07e-14 7,99
705000 999,95 2.90e-14 7,84
710000 999,95 2.74e-14 7,69
715000 999,96 2.59e-14 7,54
720000 999,96 2.46e-14 7,39
725000 999,96 2.33e-14 7,25
730000 999,97 2.21e-14 7,12
735000 999,97 2.09e-14 6,98
740000 999,97 1.99e-14 6,85
745000 999,97 1.89e-14 6,73
750000 999,98 1.80e-14 6,6
755000 999,98 1.71e-14 6,48
760000 999,98 1.63e-14 6,37
765000 999,98 1.55e-14 6,25
770000 999,99 1.48e-14 6,14
775000 999,99 1.41e-14 6,04
780000 999,99 1.35e-14 5,94
785000 999,99 1.29e-14 5,84
790000 1000 1.24e-14 5,74
795000 1000 1.19e-14 5,65
800000 1000 1.14e-14 5,56
805000 1000 1.09e-14 5,47
810000 1000 1.05e-14 5,39
815000 1000 1.01e-14 5,31
820000 1000 9.70e-15 5,23
825000 1000 9.34e-15 5,16
830000 1000 8.99e-15 5,08
835000 1000 8.67e-15 5,02
840000 1000 8.36e-15 4,95
845000 1000 8.07e-15 4,89
850000 1000 7.80e-15 4,83
855000 1000 7.54e-15 4,78
860000 1000 7.29e-15 4,72
